id	pc1	pc2	pc3	pc4	pc5
IRIS_313-11345	-7.523908211782447	-2.0657976872310635	0.6091924558414707	-0.4526091709802813	-1.0599952412676608
IRIS_313-11346	-7.124966771633079	-2.293542536722696	-0.26031557936945077	-0.12088947144019212	-0.7666712651380138
IRIS_313-11347	-6.92014030093965	-2.5335856044214915	0.4003728166467887	-0.8339351904916573	-0.15988397254619158
B197	-7.6446391511665395	-1.4763083192546944	-0.3124908469201841	-0.23358229413826614	2.43110533140444
IRIS_313-10814	-6.2249560222838785	-2.1392799652830576	0.6068829843411059	0.25179498179354237	-2.7015664295226562
B208	-7.5701666810136325	-2.1252619259821057	-0.43489383097675494	0.055816154953781644	5.104856867106998
B210	-7.07954982336402	-1.6581650047738397	-0.1782566722478692	-0.07912747793276301	1.7194894862323953
B214	-6.683559646727188	-2.3468646190452254	-0.061135334443326944	-0.0429441994246986	0.16011054636656835
B216	-6.291308652277662	-1.5602277704079661	-0.7609099867682251	0.45429170614625186	1.2417567820281126
B217	-6.774070073887805	-2.6639023121587835	0.2447441300574298	-0.28962280875263535	1.1082739404720745
B222	-6.557710411676951	-1.2380781559079654	-0.2709367873066678	0.18859803651719578	1.8907674848298517
IRIS_313-10847	-8.190840220538878	-2.5292881113337966	-0.48551358640299075	0.04820115069682476	0.35708822362834924
IRIS_313-11306	-7.865763270196263	-2.973642191469662	0.42585211714268495	0.11045224192313	0.45735020620717337
B229	-6.747450464260172	-2.000280104223947	0.10766967417815534	0.09217416106125646	0.8855410198056115
IRIS_313-11382	-6.546575289938439	-0.9212185343764314	0.048155835102144356	0.13119925228154833	-2.1937221768287
IRIS_313-11383	-5.953218254758543	-1.5561023474217246	0.5707467233926615	-0.17350454480879313	-0.6050434735208133
IRIS_313-11386	-7.138185474476095	-2.427855944494231	-0.20827622491438644	0.367881738153326	-1.8655406536023553
IRIS_313-9867	-7.381710260685702	-2.643380523664553	0.30317850536869534	0.5960163670115137	-2.0351667405051117
B247	-5.396268638766202	-0.6491555969318907	0.1253455738430395	0.09113489300256941	0.05955764436839045
B249	-7.737973262277979	-2.417538302139406	-0.3398669750852062	-0.3457634280821361	5.052210096664815
B252	-6.228507003273385	-2.4657319972522114	-0.13804250124570297	-0.3756267721795762	0.8397345957800184
B253	-6.831118723648135	-2.491640318570046	-0.57438222621571	-0.2520693982365208	2.452896436680414
B254	-6.857680687511558	-2.4214188568649617	-0.5872725891339825	-0.3367994117861092	2.386079494998256
B259	-6.847155088233706	-2.1514086844426306	-0.3269001438073139	-0.3627864771193731	3.9761860850148865
IRIS_313-11407	-7.578089398963258	-1.4279689482430158	0.28382649278932476	1.4463310333039014	-0.12409318653911744
B264	-7.297169679390086	-2.6140402182424323	-0.3957074175379982	-0.8451035280274523	5.141232707741086
B265	-7.259253777284392	-2.414942299000926	0.770049485551916	-0.6892411295995187	0.9472801111547142
IRIS_313-9968	-7.650854346154558	-1.8088044447095277	-0.4238310529061005	0.06396048999222129	2.6905236884763473
IRIS_313-9969	-6.392238062786974	-1.321801144312775	0.27877903016879235	0.13168647291325852	-0.04516299078309982
IRIS_313-11206	-6.116238230162572	-1.3038094520374068	0.7684753356604227	0.7207478810634225	-1.2732018360316795
IRIS_313-9976	-7.382653538714081	-2.3776883814800245	-0.2140201997547675	-0.5261537911334784	4.091557314724161
IRIS_313-10674	-7.624011816207376	-1.8187292422676606	-0.3063109906684146	0.9293652111748292	-0.14562538624772503
IRIS_313-11442	-6.93823303993939	-1.931562527860136	0.2041732861555032	0.41787245235234277	0.1303382078354455
IRIS_313-10675	-7.329802213417317	-0.14458280687866132	-0.08433570673289423	-0.10349502755671058	0.14476805707717988
IRIS_313-11447	-7.919035145298759	-2.8550576647732853	-0.11452745965097313	0.01606188209159289	-0.1649522607163073
IRIS_313-11461	-7.924830834244865	-1.3589715388845287	-0.737498762006725	-0.20615613564450866	0.5524057682532826
IRIS_313-11467	-7.488647761915048	-3.249107297498455	0.5545242795278875	-0.21248878427034912	-2.231253821903279
IRIS_313-11472	-6.813426809310404	-2.4908329771036803	0.7596954915359083	-0.4359765525163306	-1.89825253120027
CX60	-3.964347952377297	-0.220241786365917	-0.320718320360853	0.09825417201340615	0.20677652784432898
IRIS_313-10681	-7.256409711260136	-2.317825450436587	0.11980321811728331	-0.22940516182771373	-1.3318553162946254
IRIS_313-11493	-7.4992261450783575	-1.737582616292673	0.5456568003428423	-0.6298277775693395	-0.5331503430142834
IRIS_313-11521	-6.986220166905775	-2.621893806479274	-0.2534835243417329	-0.025621083098633615	-0.039305568684484156
IRIS_313-10687	-7.305414511141963	-2.966806787147966	0.7795869874572956	0.07138538418562121	-3.033990920143425
IRIS_313-10171	-7.3142616003677325	-2.4341935324093695	-0.48832170280773574	-0.23903592053330644	4.073927608446743
